Timestamp,Campus_Location,Ambient_Temp_C,Activity_Level,Total_Demand_Liters,Day_of_Week,Month,Is_Weekend
2025-01-01,Central_Canteen,22.1,Medium,1200.0,2,1,0
2025-01-02,Boys_Hostel_C,41.0,Medium,1986.0,3,1,0
2025-01-03,Central_Canteen,26.4,High,1480.0,4,1,0
2025-01-04,Indoor_Stadium,31.4,Medium,1580.0,5,1,1
2025-01-05,Campus_Laundry,35.7,Low,2187.0,6,1,1
2025-01-06,Campus_Laundry,33.2,Low,2277.0,0,1,0
2025-01-07,Academic_Block_1,24.8,Medium,1330.0,1,1,0
2025-01-08,Boys_Hostel_C,39.1,High,2250.0,2,1,0
2025-01-09,Main_Hostel_A,32.4,High,1956.0,3,1,0
2025-01-10,Boys_Hostel_C,15.4,Medium,1440.0,4,1,0
2025-01-11,Central_Canteen,21.6,Medium,1305.0,5,1,1
2025-01-12,Boys_Hostel_C,28.2,Medium,2402.4,6,1,1
2025-01-13,Central_Library,15.8,Medium,462.0,0,1,0
2025-01-14,Indoor_Stadium,18.1,Medium,1215.0,1,1,0
2025-01-15,Central_Library,30.5,Low,488.0,2,1,0
2025-01-16,Garden_Irrigation,27.0,Low,1125.0,3,1,0
2025-01-17,Indoor_Stadium,20.5,Medium,1255.0,4,1,0
2025-01-18,Main_Hostel_A,18.6,Medium,2035.8000000000002,5,1,1
2025-01-19,Main_Hostel_A,37.6,Medium,2527.2000000000003,6,1,1
2025-01-20,Girls_Hostel_B,38.8,High,2232.0,0,1,0
2025-01-21,Campus_Laundry,19.7,High,2700.0,1,1,0
2025-01-22,Boys_Hostel_C,17.7,Medium,1500.0,2,1,0
2025-01-23,Indoor_Stadium,26.1,Medium,1335.0,3,1,0
2025-01-24,Main_Hostel_A,27.7,High,2004.0,4,1,0
2025-01-25,Girls_Hostel_B,33.8,Medium,2293.2000000000003,5,1,1
2025-01-26,Central_Canteen,26.3,Medium,1400.0,6,1,1
2025-01-27,Academic_Block_1,21.4,Low,1060.0,0,1,0
2025-01-28,Campus_Laundry,38.1,High,3474.0,1,1,0
2025-01-29,Girls_Hostel_B,15.9,High,1572.0,2,1,0
2025-01-30,Indoor_Stadium,27.3,Medium,1310.0,3,1,0
2025-01-31,Main_Hostel_A,21.2,Medium,1632.0,4,1,0
2025-02-01,Girls_Hostel_B,39.7,Medium,2714.4,5,2,1
2025-02-02,Central_Canteen,32.0,Medium,1450.0,6,2,1
2025-02-03,Indoor_Stadium,25.7,High,1555.0,0,2,0
2025-02-04,Campus_Laundry,23.5,Low,1926.0,1,2,0
2025-02-05,Central_Library,31.9,Medium,588.0,2,2,0
2025-02-06,Boys_Hostel_C,31.8,Medium,1842.0,3,2,0
2025-02-07,Boys_Hostel_C,17.0,High,1524.0,4,2,0
2025-02-08,Central_Library,27.9,High,65.0,5,2,1
2025-02-09,Girls_Hostel_B,20.7,Low,1521.0,6,2,1
2025-02-10,Main_Hostel_A,39.6,Medium,1992.0,0,2,0
2025-02-11,Garden_Irrigation,39.2,Medium,1715.0,1,2,0
2025-02-12,Campus_Laundry,29.8,Medium,2709.0,2,2,0
2025-02-13,Campus_Laundry,31.3,Low,2034.0,3,2,0
2025-02-14,Indoor_Stadium,21.3,Medium,1350.0,4,2,0
2025-02-15,Central_Library,34.4,Medium,63.400000000000006,5,2,1
2025-02-16,Campus_Laundry,28.7,Low,1944.0,6,2,1
2025-02-17,Central_Library,29.9,High,696.0,0,2,0
2025-02-18,Indoor_Stadium,21.8,Medium,1360.0,1,2,0
2025-02-19,Campus_Laundry,23.6,Medium,2547.0,2,2,0
2025-02-20,Girls_Hostel_B,41.8,Medium,2082.0,3,2,0
2025-02-21,Garden_Irrigation,30.5,Low,1280.0,4,2,0
2025-02-22,Indoor_Stadium,37.4,Medium,1680.0,5,2,1
2025-02-23,Campus_Laundry,32.7,Medium,2871.0,6,2,1
2025-02-24,Campus_Laundry,22.1,High,2718.0,0,2,0
2025-02-25,Indoor_Stadium,17.1,Low,920.0,1,2,0
2025-02-26,Central_Canteen,41.9,Low,1560.0,2,2,0
2025-02-27,Garden_Irrigation,23.3,Medium,1240.0,3,2,0
2025-02-28,Main_Hostel_A,17.3,Medium,1254.0,4,2,0
2025-03-01,Garden_Irrigation,24.2,High,1530.0,5,3,1
2025-03-02,Boys_Hostel_C,32.8,High,2542.8,6,3,1
2025-03-03,Girls_Hostel_B,19.8,Medium,1518.0,0,3,0
2025-03-04,Main_Hostel_A,28.2,Low,1488.0,1,3,0
2025-03-05,Girls_Hostel_B,31.8,Medium,1698.0,2,3,0
2025-03-06,Boys_Hostel_C,24.5,Medium,1734.0,3,3,0
2025-03-07,Boys_Hostel_C,35.1,Medium,1998.0,4,3,0
2025-03-08,Boys_Hostel_C,40.4,Low,2301.0,5,3,1
2025-03-09,Main_Hostel_A,33.7,Low,1872.0,6,3,1
2025-03-10,Girls_Hostel_B,27.5,Low,1290.0,0,3,0
2025-03-11,Academic_Block_1,31.6,Medium,1450.0,1,3,0
2025-03-12,Boys_Hostel_C,16.0,High,1674.0,2,3,0
2025-03-13,Central_Canteen,31.7,Low,1335.0,3,3,0
2025-03-14,Indoor_Stadium,36.6,Medium,1605.0,4,3,0
2025-03-15,Campus_Laundry,34.7,High,3204.0,5,3,1
2025-03-16,Central_Canteen,27.5,Low,1090.0,6,3,1
2025-03-17,Campus_Laundry,37.6,High,3501.0,0,3,0
2025-03-18,Indoor_Stadium,35.4,High,1845.0,1,3,0
2025-03-19,Boys_Hostel_C,18.9,Low,1080.0,2,3,0
2025-03-20,Academic_Block_1,40.5,Low,1510.0,3,3,0
2025-03-21,Academic_Block_1,33.4,Medium,1645.0,4,3,0
2025-03-22,Central_Canteen,25.8,Medium,1255.0,5,3,1
2025-03-23,Boys_Hostel_C,28.2,High,2667.6,6,3,1
2025-03-24,Garden_Irrigation,39.4,High,1900.0,0,3,0
2025-03-25,Central_Canteen,15.4,Low,685.0,1,3,0
2025-03-26,Garden_Irrigation,22.1,High,1525.0,2,3,0
2025-03-27,Central_Library,15.5,Medium,460.0,3,3,0
2025-03-28,Girls_Hostel_B,40.1,Medium,2184.0,4,3,0
2025-03-29,Campus_Laundry,35.9,High,3465.0,5,3,1
2025-03-30,Central_Library,28.6,High,64.60000000000001,6,3,1
2025-03-31,Garden_Irrigation,35.0,Medium,1595.0,0,3,0
2025-04-01,Garden_Irrigation,36.4,Low,1410.0,1,4,0
2025-04-02,Indoor_Stadium,18.1,Medium,1200.0,2,4,0
2025-04-03,Indoor_Stadium,39.1,Medium,1665.0,3,4,0
2025-04-04,Central_Canteen,29.9,Medium,1460.0,4,4,0
2025-04-05,Indoor_Stadium,31.3,Low,1170.0,5,4,1
2025-04-06,Girls_Hostel_B,25.2,Low,1700.4,6,4,1
2025-04-07,Academic_Block_1,38.8,Medium,1690.0,0,4,0
2025-04-08,Campus_Laundry,39.8,Medium,2979.0,1,4,0
2025-04-09,Central_Library,28.3,High,630.0,2,4,0
2025-04-10,Boys_Hostel_C,33.0,Low,1356.0,3,4,0
2025-04-11,Boys_Hostel_C,15.2,Low,942.0,4,4,0
2025-04-12,Indoor_Stadium,40.9,Medium,1850.0,5,4,1
2025-04-13,Indoor_Stadium,15.3,Medium,1085.0,6,4,1
2025-04-14,Garden_Irrigation,32.2,High,1840.0,0,4,0
2025-04-15,Girls_Hostel_B,32.1,Low,1602.0,1,4,0
2025-04-16,Boys_Hostel_C,21.4,Medium,1452.0,2,4,0
2025-04-17,Campus_Laundry,34.8,High,3177.0,3,4,0
2025-04-18,Girls_Hostel_B,39.4,Medium,2022.0,4,4,0
2025-04-19,Girls_Hostel_B,37.9,Low,2067.0,5,4,1
2025-04-20,Boys_Hostel_C,33.5,Low,1801.8,6,4,1
2025-04-21,Garden_Irrigation,23.3,Low,920.0,0,4,0
2025-04-22,Central_Library,34.9,High,672.0,1,4,0
2025-04-23,Boys_Hostel_C,21.6,Low,1290.0,2,4,0
2025-04-24,Main_Hostel_A,15.4,Low,1044.0,3,4,0
2025-04-25,Central_Canteen,27.0,Medium,1330.0,4,4,0
2025-04-26,Campus_Laundry,22.3,Low,1674.0,5,4,1
2025-04-27,Girls_Hostel_B,25.4,High,2355.6,6,4,1
2025-04-28,Campus_Laundry,37.7,Medium,3186.0,0,4,0
2025-04-29,Central_Library,27.5,Low,476.0,1,4,0
2025-04-30,Boys_Hostel_C,38.1,High,2388.0,2,4,0
2025-05-01,Central_Library,18.3,Low,308.0,3,5,0
2025-05-02,Girls_Hostel_B,40.0,Medium,1992.0,4,5,0
2025-05-03,Garden_Irrigation,31.8,Medium,1460.0,5,5,1
2025-05-04,Central_Library,32.5,Low,45.800000000000004,6,5,1
2025-05-05,Central_Canteen,19.2,Medium,1280.0,0,5,0
2025-05-06,Garden_Irrigation,26.7,Low,1190.0,1,5,0
2025-05-07,Indoor_Stadium,30.6,Low,1270.0,2,5,0
2025-05-08,Main_Hostel_A,25.3,Medium,1692.0,3,5,0
2025-05-09,Academic_Block_1,27.4,Medium,1395.0,4,5,0
