Timestamp,Campus_Location,Ambient_Temp_C,Activity_Level,Total_Demand_Liters
1/1/2025,Central_Canteen,22.1,Medium,1200
1/2/2025,Boys_Hostel_C,41,Medium,1986
1/3/2025,Central_Canteen,26.4,High,1480
1/4/2025,Indoor_Stadium,31.4,Medium,1580
1/5/2025,Campus_Laundry,35.7,Low,2187
1/6/2025,Campus_Laundry,33.2,Low,2277
1/7/2025,Academic_Block_1,24.8,Medium,1330
1/8/2025,Boys_Hostel_C,39.1,High,2250
1/9/2025,Main_Hostel_A,32.4,High,1956
1/10/2025,Boys_Hostel_C,15.4,Medium,1440
1/11/2025,Central_Canteen,21.6,Medium,1305
1/12/2025,Boys_Hostel_C,28.2,Medium,1848
1/13/2025,Central_Library,15.8,Medium,462
1/14/2025,Indoor_Stadium,18.1,Medium,1215
1/15/2025,Central_Library,30.5,Low,488
1/16/2025,Garden_Irrigation,27,Low,1125
1/17/2025,Indoor_Stadium,20.5,Medium,1255
1/18/2025,Main_Hostel_A,18.6,Medium,1566
1/19/2025,Main_Hostel_A,37.6,Medium,1944
1/20/2025,Girls_Hostel_B,38.8,High,2232
1/21/2025,Campus_Laundry,19.7,High,2700
1/22/2025,Boys_Hostel_C,17.7,Medium,1500
1/23/2025,Indoor_Stadium,26.1,Medium,1335
1/24/2025,Main_Hostel_A,27.7,High,2004
1/25/2025,Girls_Hostel_B,33.8,Medium,1764
1/26/2025,Central_Canteen,26.3,Medium,1400
1/27/2025,Academic_Block_1,21.4,Low,1060
1/28/2025,Campus_Laundry,38.1,High,3474
1/29/2025,Girls_Hostel_B,15.9,High,1572
1/30/2025,Indoor_Stadium,27.3,Medium,1310
1/31/2025,Main_Hostel_A,21.2,Medium,1632
2/1/2025,Girls_Hostel_B,39.7,Medium,2088
2/2/2025,Central_Canteen,32,Medium,1450
2/3/2025,Indoor_Stadium,25.7,High,1555
2/4/2025,Campus_Laundry,23.5,Low,1926
2/5/2025,Central_Library,31.9,Medium,588
2/6/2025,Boys_Hostel_C,31.8,Medium,1842
2/7/2025,Boys_Hostel_C,17,High,1524
2/8/2025,Central_Library,27.9,High,650
2/9/2025,Girls_Hostel_B,20.7,Low,1170
2/10/2025,Main_Hostel_A,39.6,Medium,1992
2/11/2025,Garden_Irrigation,39.2,Medium,1715
2/12/2025,Campus_Laundry,29.8,Medium,2709
2/13/2025,Campus_Laundry,31.3,Low,2034
2/14/2025,Indoor_Stadium,21.3,Medium,1350
2/15/2025,Central_Library,34.4,Medium,634
2/16/2025,Campus_Laundry,28.7,Low,1944
2/17/2025,Central_Library,29.9,High,696
2/18/2025,Indoor_Stadium,21.8,Medium,1360
2/19/2025,Campus_Laundry,23.6,Medium,2547
2/20/2025,Girls_Hostel_B,41.8,Medium,2082
2/21/2025,Garden_Irrigation,30.5,Low,1280
2/22/2025,Indoor_Stadium,37.4,Medium,1680
2/23/2025,Campus_Laundry,32.7,Medium,2871
2/24/2025,Campus_Laundry,22.1,High,2718
